210 | Campbell, Joseph
211 | Can Xue
212 | Canavan, Trudi
213 | Cantero, Edgar
214 | Card, Orson Scott
215 | Carey, Jacqueline
216 | Carey, Linda
217 | Carey, Louise
218 | Carey, Mike / Carey, M. R.
219 | Cargill, C. Robert
220 | Carmody, Isobelle
221 | Carpenter, Humphrey
222 | Carr, Patrick W.
223 | Carr, Viola
224 | Carriger, Gail
225 | Carrington, Leonora
226 | Carroll, Emily
227 | Carroll, Lewis
228 | Carson, Rae
229 | Carter, Angela
230 | Carter, Rachel E.
231 | Cartmel, Andrew
232 | Caruso, Melissa
233 | Carver, J. P.
234 | Cashore, Kristin
235 | Cass, Kiera
236 | Castellucci, Cecil
237 | Catling, B. / Catling, Brian
238 | Cato, Beth
239 | Chakraborty, S. A.
240 | Chambers, Becky
241 | Chambers, Robert W.
242 | Chambers, S. J.
243 | Chance, Karen
244 | Chang, Janie
245 | Chant, Austin
246 | Charish, Kristi
247 | Charles, K. J.
248 | Charlton, Blake
249 | Charnas, Suzy McKee
250 | Chase, Serena
251 | Cherryh, C. J.
252 | Chester, Deborah
253 | Chhabra, Maya
254 | Chiang, Ted
255 | Child, Lee
256 | Chima, Cinda Williams
257 | Chmilenko, Luke
258 | Chng, Joyce
259 | Cho, Zen
260 | Chokshi, Roshani
261 | Christie, Agatha
262 | Christin, Pierre
263 | Chu, John
264 | Chu, Wesley
265 | Chupeco, Rin
266 | Church, James
267 | Ciccarelli, Kristen
268 | Clare, Cassandra
269 | Clark, P. Djeli
270 | Clarke, Arthur C.
271 | Clarke, Cassandra Rose
272 | Clarke, Susanna
273 | Claxton, Matthew
274 | Clayton, Dhonielle
275 | Cline, Ernest
276 | Clines, Peter
277 | Coates, Ta-Nehisi
278 | Coelho, Paulo
279 | Cogman, Genevieve
280 | Cohen, Jack
281 | Cole, Myke
282 | Collins, Adrian
283 | Collopy, Bob
284 | Colville, Matthew
285 | Coney, Michael G.
286 | Connolly, Harry
287 | Constantine, Mary-Ann
288 | Cook, Dawn
289 | Cook, Glen
290 | Cooney, C. S. E.
291 | Cooper, Jacob
292 | Cooper, Louise
293 | Cooper, M. D.
294 | Cooper, Susan
295 | Cornell, Paul
296 | Cornwell, Bernard
297 | Cornwell, Brandon
298 | Correia, Larry
299 | Corvin, Blaise
300 | Corwin, Aaron
301 | Corzilius, Thilo
302 | Costner, Kevin
303 | Coulthurst, Audrey
304 | Cowell, Cressida
305 | Craddock, Curtis
306 | Cranor, Jeffrey
307 | Crichton, Michael
308 | Croker, T. Crofton
309 | Cronin, Justin
310 | Crossley-Holland, Kevin
311 | Crouch, Blake
312 | Cummings, Shane Jiraiya
313 | Cumpstey, Ian
314 | Curran, Bob
315 | Cutter, Nick
316 | Dabos, Christelle
317 | Dale, Paul
318 | Dalglish, David
319 | Damanda, Marcus
320 | Danielewski, Mark Z.
321 | Daniells, Rowena Cory
322 | Daniels, April
323 | Daniels, J. C.
324 | Dann, Jack
325 | Dark, Dannika
326 | Darnielle, John
327 | Dart-Thornton, Cecilia
328 | Das, Indra
329 | Datlow, Ellen
330 | Davidson, Rjurik
331 | Davies, Owen
332 | Davis, Amy Rose
333 | DeConnick, Kelly Sue
334 | DeMatteis, J. M.
335 | Deeds, Marion
336 | Defoe, Daniel
337 | Dekker, Ted
338 | Dellamonica, A. M.
339 | Dennard, Susan
340 | Depestre, Rene
341 | Derfner, Joel
342 | Descovich, Benjamin
343 | Desjardins, Martine
344 | Di Filippo, Paul
345 | Diaz, Junot
346 | Dick, Philip K.
347 | Dickinson, Seth
348 | Dimaline, Cherie
349 | Dobson, Ben S.
350 | Doctorow, Cory
351 | Doerr, Anthony
352 | Doidge, Meghan Ciana
353 | Donaldson, Stephen R.
354 | Donnelly, Lara Elena
355 | Dovey, Matt
356 | Dowd, Siobhan
357 | Dozois, Gardner R.
358 | Drake, Darrell
359 | Draven, Grace
360 | Drayden, Nicky
361 | Drew, Libby
362 | Due, Tananarive
363 | Dukes, Brad
364 | Dunbar, Debra
365 | Duncan, Rod
366 | Dunsany, Lord
367 | Durst, Sarah Beth
368 | Eames, Nicholas
369 | Eco, Umberto
370 | Eddings, David
371 | Eddings, Leigh
372 | Eddison, E. R.
373 | Edelstein, Jonathan
374 | Edginton, Ian
375 | Edmonds, Lisa
376 | Edwards, Hailey
377 | Ee, Susan
378 | Eftimie, Ovidiu
379 | Egan, Doris
380 | Eisenstein, Phyllis
381 | El Akkad, Omar
382 | El-Mohtar, Amal
383 | Elfgren, Sara Bergmark
384 | Elison, Meg
385 | Ellingsen, Berit
386 | Elliott, Adam
387 | Elliott, Kate / Rasmussen, Alis A.
388 | Elliott, Zetta
389 | Ellis, Grace
390 | Ellis, Sigrid
391 | Ellison, Harlan
392 | Elwes, Cary
393 | Emery, Ben
394 | Emrys, Ruthanna
395 | Ende, Michael
396 | Enge, James
397 | Erdrich, Louise
398 | Erikson, Steven
399 | ErraticErrata
